school_code,school_name,category,management,edu_district,sub_district,local_body,classes_approved,students_total,students_lp,students_up,teaching_staff_total,teaching_staff_lp,teaching_staff_up,teaching_staff_lp_up_shared,teaching_staff_hs,teaching_staff_unclassified,non_teaching_total,reported_total_employees,staff_data_status,total_reconciles,has_hss,has_vhse,source_url,fetched_at
18206,GLPS Kuzhimanna II South,LPS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 4,275,275,0,14,9,0,3,2,0,1,15,ok,true,false,false,https://sametham.kite.kerala.gov.in/18206,2026-08-14T10:04:40.145920+00:00
18217,GLPS Parappur,LPS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 4,93,93,0,4,3,0,1,0,0,1,5,ok,true,false,false,https://sametham.kite.kerala.gov.in/18217,2026-08-14T10:04:42.151731+00:00
18218,GLPS Parapurathparamba,LPS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 4,102,102,0,6,4,0,2,0,0,1,7,ok,true,false,false,https://sametham.kite.kerala.gov.in/18218,2026-08-14T10:04:44.146121+00:00
18219,GLPS Parathakkad,LPS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 4,180,180,0,7,5,0,2,0,0,0,7,ok,true,false,false,https://sametham.kite.kerala.gov.in/18219,2026-08-14T10:04:46.143004+00:00
18220,GLPS Ponnad,LPS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 4,324,324,0,14,11,0,2,1,0,1,15,ok,true,false,false,https://sametham.kite.kerala.gov.in/18220,2026-08-14T10:04:48.139671+00:00
18221,GMLPS Pookalathur,LPS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 4,259,259,0,12,7,0,2,3,0,1,13,ok,true,false,false,https://sametham.kite.kerala.gov.in/18221,2026-08-14T10:04:50.147942+00:00
18222,GLPS Pulpatta,LPS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 4,140,140,0,8,7,0,1,0,0,0,8,ok,true,false,false,https://sametham.kite.kerala.gov.in/18222,2026-08-14T10:04:52.197370+00:00
18223,GMLPS Thavanur,LPS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 4,223,223,0,10,8,0,2,0,0,1,11,ok,true,false,false,https://sametham.kite.kerala.gov.in/18223,2026-08-14T10:04:54.149743+00:00
18226,GLPS Valamangalam,LPS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 4,166,166,0,9,7,0,2,0,0,1,10,ok,true,false,false,https://sametham.kite.kerala.gov.in/18226,2026-08-14T10:04:56.153937+00:00
18228,GLPS Vilayil,LPS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 4,72,72,0,4,2,0,2,0,1,0,5,ok,true,false,false,https://sametham.kite.kerala.gov.in/18228,2026-08-14T10:04:58.169047+00:00
18230,GLPS Vilayil Parappur,LPS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 4,155,155,0,7,5,0,2,0,0,0,7,ok,true,false,false,https://sametham.kite.kerala.gov.in/18230,2026-08-14T10:05:00.142115+00:00
18232,G U P S Cheecode,UPS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 7,523,274,249,25,10,9,6,0,0,2,27,ok,true,false,false,https://sametham.kite.kerala.gov.in/18232,2026-08-14T10:05:02.175849+00:00
