school_code,school_name,category,sub_district,students_lp,students_up,divisions_lp,divisions_up,divisions_total,staff_lp,staff_up,staff_lp_up_shared,staff_counted,imbalance,verdict,fixation_2026_27
18440,G.L.P.S. Paranki Moochikkal,LPS,Malappuram,367,0,14,0,14,9,0,3,12,-2,shortfall,
18473,G.M.U.P.S. Kottakkal,UPS,Malappuram,289,431,12,15,27,11,8,6,25,-2,shortfall,received teachers
18474,G.M.U.P.S. Melmuri,UPS,Malappuram,491,404,18,14,32,15,8,7,30,-2,shortfall,
18475,G.U.P.S. Kottakkal,UPS,Malappuram,285,315,11,11,22,11,6,3,20,-2,shortfall,
18477,G.U.P.S. Ponmala,UPS,Malappuram,242,348,10,12,22,9,8,3,20,-2,shortfall,received teachers
18541,G.L.P.S. Pandallur,LPS,Manjeri,290,0,12,0,12,7,0,3,10,-2,shortfall,
18557,G.L.P.S. Valarad,LPS,Manjeri,136,0,8,0,8,4,0,2,6,-2,shortfall,
18626,G L P S Palakaparambil,LPS,Mankada,99,0,5,0,5,1,0,2,3,-2,shortfall,
18660,G U P S Koottilangadi,UPS,Mankada,230,259,9,9,18,8,4,4,16,-2,shortfall,received teachers
18723,GMLPS Muthiramanna,LPS,Perinthalmanna,69,0,4,0,4,1,0,1,2,-2,shortfall,
18730,GMLPS Perinthalmanna Central,LPS,Perinthalmanna,290,0,12,0,12,8,0,2,10,-2,shortfall,
18739,GMLPS Thootha,LPS,Perinthalmanna,153,0,8,0,8,4,0,2,6,-2,shortfall,
19002,G M H S S C U Campus,HSS,Vengara,0,379,0,13,13,0,7,4,11,-2,shortfall,lost posts
19042,G. H. S. S. Perassannur,HSS,Kuttippuram,145,228,8,8,16,7,5,2,14,-2,shortfall,
19043,P. C. N. G. H. S. S. Mookkuthala,HSS,Edappal,0,509,0,17,17,0,12,3,15,-2,shortfall,
19077,GHSS Puthuparamba,HSS,Vengara,555,533,20,17,37,19,11,5,35,-2,shortfall,
19216,G. B. L. P. S. Mudur,LPS,Edappal,75,0,4,0,4,1,0,1,2,-2,shortfall,
19225,G. L. P. S. Sukapuram,LPS,Edappal,43,0,4,0,4,1,0,1,2,-2,shortfall,
19301,G. L. P. S. Athippetta,LPS,Kuttippuram,78,0,4,0,4,1,0,1,2,-2,shortfall,
19329,G. L. P. S. Kuttippuram,LPS,Kuttippuram,21,0,4,0,4,2,0,0,2,-2,shortfall,
19365,G. U. P. S. Randathani,UPS,Kuttippuram,148,264,8,10,18,8,4,4,16,-2,shortfall,
19417,G. L. P. S. Venniyur,LPS,Parappanangadi,149,0,7,0,7,4,0,1,5,-2,shortfall,received teachers
19429,G. F. L. P. S. Kadalundi,UPS,Parappanangadi,58,31,4,2,6,3,0,1,4,-2,shortfall,
19434,G. M. L. P. S. Parappanangadi Town,UPS,Parappanangadi,262,48,11,2,13,8,1,2,11,-2,shortfall,received teachers
19436,G. M. L. P. S. Velimukku,UPS,Parappanangadi,121,34,7,2,9,7,0,0,7,-2,shortfall,
19447,G. M. U. P. S. Parakkadavu,UPS,Parappanangadi,524,651,18,20,38,14,15,7,36,-2,shortfall,
19537,G. L. P. S. Velleri,UPS,Ponnani,57,19,4,1,5,3,0,0,3,-2,shortfall,
19769,G. U. P. S. Chamravattam,UPS,Tirur,443,611,16,19,35,13,13,7,33,-2,shortfall,received teachers
19781,G. M. U. P. S. Paravanna,UPS,Tirur,306,305,13,11,24,11,6,5,22,-2,shortfall,
19816,GMLPS Koomanna,LPS,Vengara,223,0,9,0,9,7,0,0,7,-2,shortfall,
19824,GMLPS Orakam Kizhmuri,LPS,Vengara,311,0,13,0,13,10,0,1,11,-2,shortfall,
19855,GLPS Orakam Kizhumuri,UPS,Vengara,452,131,17,5,22,18,0,2,20,-2,shortfall,
48063,G.H.S.S. Pattikkad,HSS,Melattur,0,317,0,12,12,0,8,2,10,-2,shortfall,
48141,G H S Perakamanna,HS,Areacode,245,415,10,14,24,9,9,4,22,-2,shortfall,
48205,G L P S Chengara,LPS,Areacode,228,0,10,0,10,7,0,1,8,-2,shortfall,
48224,GMLPS Puthalam,LPS,Areacode,115,0,7,0,7,4,0,1,5,-2,shortfall,
48304,G.L.P.S. Cheriparamba,LPS,Melattur,132,0,8,0,8,5,0,1,6,-2,shortfall,
48425,Mooleppadam GLPS,LPS,Nilambur,6,0,2,0,2,0,0,0,0,-2,shortfall,received teachers
48501,Adakkakundu GLPS,LPS,Wandoor,160,0,8,0,8,4,0,2,6,-2,shortfall,
48510,Chokkad Girijan Colony GLPS,LPS,Wandoor,10,0,4,0,4,1,0,1,2,-2,shortfall,
48531,Pulvetta GLPS,LPS,Wandoor,290,0,11,0,11,7,0,2,9,-2,shortfall,
48533,Tharish GLPS,LPS,Wandoor,446,0,16,0,16,11,0,3,14,-2,shortfall,
48545,Chadangamkulam GLPS,UPS,Wandoor,253,73,11,3,14,10,0,2,12,-2,shortfall,
48558,G H S Neelanchery,HS,Wandoor,346,324,14,11,25,9,11,3,23,-2,shortfall,lost posts
18012,G.G.H.S.S. Malappuram,HSS,Malappuram,0,265,0,9,9,0,5,3,8,-1,shortfall,lost posts
18027,G H S S Pandikkad,HSS,Manjeri,0,857,0,25,25,0,19,5,24,-1,shortfall,
18205,GLPS Kuzhimanna,LPS,Kizhisseri,280,0,11,0,11,10,0,0,10,-1,shortfall,
18219,GLPS Parathakkad,LPS,Kizhisseri,180,0,8,0,8,5,0,2,7,-1,shortfall,
18230,GLPS Vilayil Parappur,LPS,Kizhisseri,155,0,8,0,8,5,0,2,7,-1,shortfall,
18301,G.M.L.P.S. Akkode,LPS,Kondotty,81,0,4,0,4,2,0,1,3,-1,shortfall,
