school_code,school_name,category,sub_district,lp_up_students,lp_up_teachers,lp_up_ptr,review_flag
18510,G.L.P.S. Cheruvannur,LPS,Manjeri,230,10,23.0,
19013,GVHSS Vengara,VHSE,Vengara,276,12,23.0,
19322,G. L. P. S. Kattipparuthi,LPS,Kuttippuram,69,3,23.0,
48224,GMLPS Puthalam,LPS,Areacode,115,5,23.0,
48320,G.L.P.S. Kombamkallu,LPS,Melattur,92,4,23.0,
18206,GLPS Kuzhimanna II South,LPS,Kizhisseri,275,12,22.9,
19040,G. H. S. S. Kuttippuram,HSS,Kuttippuram,183,8,22.9,
19836,GLPS Peruvallur,LPS,Vengara,183,8,22.9,
18150,GHS CHERIYAM MANKADA,HS,Mankada,478,21,22.8,
18539,G.M.L.P.S. Nellikuth North,LPS,Manjeri,227,10,22.7,
18557,G.L.P.S. Valarad,LPS,Manjeri,136,6,22.7,
18674,G U P S Panagangara,UPS,Mankada,340,15,22.7,
19208,G. L. P. S. Kaladi,LPS,Edappal,181,8,22.6,
18335,G.L.P.S. Mundumuzhi,LPS,Kondotty,113,5,22.6,
19814,GMLPS Kilinakode,LPS,Vengara,271,12,22.6,
18758,GMUPS Valapuram,UPS,Perinthalmanna,587,26,22.6,
19214,G. L. P. S. Mookkuthala,LPS,Edappal,180,8,22.5,
48242,GUPS Maithra,UPS,Areacode,607,27,22.5,
48504,Amapoyil GLPS,LPS,Wandoor,202,9,22.4,
48445,Vadapuram GMLPS,LPS,Nilambur,112,5,22.4,
18567,G.M.L.P.S. Pandikkad,UPS,Manjeri,179,8,22.4,
19357,G. H. S. Athavanad,HS,Kuttippuram,648,29,22.3,
19605,G. M. L. P. S. Cheruvannur,LPS,Tanur,268,12,22.3,
18223,GMLPS Thavanur,LPS,Kizhisseri,223,10,22.3,
