Sl No,Educational District,Educational Sub-District (AEO),School Code,UDISE Code,School Name,Classes Approved,Students 1-4,Students 5-7,LP School Assistant posts filled (Sametham),UP School Assistant posts filled (Sametham),Sanctioned LPSA posts (to be filled by PIO),Sanctioned UPSA posts (to be filled by PIO),Vacant LPSA posts (to be filled by PIO),Vacant UPSA posts (to be filled by PIO)
229,Thirurangadi,Tanur,19667,32051100717,G. U. P. S. Karingappara,1 - 7,355,479,14,11,,,,
230,Thirurangadi,Tanur,19669,32051100301,G. M. U. P. S. Kodinhi,1 - 7,269,621,10,12,,,,
231,Thirurangadi,Tanur,19671,32051100201,G H S Meenadathur,1 -10,353,577,17,15,,,,
232,Thirurangadi,Tanur,19673,32051100129,G. M. U. P. S. Tanur Town,1 - 7,168,434,8,14,,,,
233,Thirurangadi,Tanur,19679,,G. M. U. P. S. Cheerankadappuram,5 -7,0,573,1,14,,,,
234,Thirurangadi,Tanur,19686,,K. P. N. M. U. P. S. Tanur,5 -7,0,127,0,5,,,,
235,Thirurangadi,Tanur,19699,32051100908,G. U. P. S Niramaruthur,1 - 7,294,699,11,18,,,,
236,Thirurangadi,Vengara,19002,,G M H S S C U Campus,5 - 12,0,379,0,7,,,,
237,Thirurangadi,Vengara,19013,,GVHSS Vengara,5 - 12,0,276,0,10,,,,
238,Thirurangadi,Vengara,19014,32051300115,GMVHSS Vengara Town,1 - 12,132,365,8,12,,,,
239,Thirurangadi,Vengara,19073,32051301019,GHSS Peruvallur,1 - 12,243,363,8,12,,,,
240,Thirurangadi,Vengara,19077,32051300513,GHSS Puthuparamba,1 - 12,555,533,19,11,,,,
241,Thirurangadi,Vengara,19802,32051300916,GMLPS Cherur,1 - 4,58,0,3,0,,,,
242,Thirurangadi,Vengara,19804,32051300308,GMLPS Cherukunnu,1 - 4,82,0,3,0,,,,
243,Thirurangadi,Vengara,19805,32051300806,GMLPS C.U. Campus,1 - 4,361,0,12,0,,,,
244,Thirurangadi,Vengara,19808,32051300915,GMLPS Edakkaparamba,1 - 4,403,0,13,0,,,,
245,Thirurangadi,Vengara,19809,32051300407,GMLPS Iringallur,1 - 4,174,0,7,0,,,,
246,Thirurangadi,Vengara,19810,32051300914,GLPS Kannamangalam,1 - 4,67,0,3,0,,,,
247,Thirurangadi,Vengara,19812,32051300502,GLPS Klari,1 - 4,173,0,7,0,,,,
248,Thirurangadi,Vengara,19814,32051300910,GMLPS Kilinakode,1 - 4,271,0,11,0,,,,
249,Thirurangadi,Vengara,19816,32051301020,GMLPS Koomanna,1 - 4,223,0,7,0,,,,
250,Thirurangadi,Vengara,19818,32051300214,GLPS Kodalikundu,1 - 4,117,0,5,0,,,,
251,Thirurangadi,Vengara,19820,32051300301,G L P S Othukkungal,1 - 4,223,0,7,0,,,,
252,Thirurangadi,Vengara,19822,32051300721,GMLPS Mampuram,1 - 4,98,0,4,0,,,,
253,Thirurangadi,Vengara,19824,32051300215,GMLPS Orakam Kizhmuri,1 - 4,311,0,10,0,,,,
254,Thirurangadi,Vengara,19826,32051300909,GLPS Nottappuram,1 - 4,228,0,8,0,,,,
255,Thirurangadi,Vengara,19828,32051300216,G M L P S Karathode,1 - 4,454,0,11,0,,,,
256,Thirurangadi,Vengara,19830,32051300220,GLPS Orakam Melmuri,1 - 4,189,0,7,0,,,,
257,Thirurangadi,Vengara,19833,32051301021,GLPS Olakara,1 - 4,404,0,11,1,,,,
258,Thirurangadi,Vengara,19836,32051301012,GLPS Peruvallur,1 - 4,183,0,7,0,,,,
259,Thirurangadi,Vengara,19838,32051300307,GMLPS Puthur,1 - 4,128,0,5,0,,,,
260,Thirurangadi,Vengara,19840,32051300703,GLPS Pukayur,1 - 4,164,0,7,0,,,,
261,Thirurangadi,Vengara,19841,32051300120,GLPS Thattancherimala,1 - 4,56,0,3,0,,,,
262,Thirurangadi,Vengara,19853,32051300831,GMLPS Koyappa,1 - 5,89,22,3,0,,,,
263,Thirurangadi,Vengara,19855,32051300221,GLPS Orakam Kizhumuri,1 - 5,452,131,18,0,,,,
264,Thirurangadi,Vengara,19856,32051301011,GLPS Parambilpeedika,1 - 4,754,0,19,0,,,,
265,Thirurangadi,Vengara,19859,32051300705,GUPS AR Nagar,1 - 7,319,314,10,5,,,,
266,Thirurangadi,Vengara,19862,32051300913,CHAKKEERI AHAMMED KUTTY MEMORIAL G.M.U.P.S.CHERUR,1 - 7,608,719,20,16,,,,
267,Thirurangadi,Vengara,19863,32051300413,G U P S Cholakundu,1 - 7,263,335,8,11,,,,
268,Thirurangadi,Vengara,19864,32051300917,GMUPS Kannamangalam,1 - 7,245,262,8,7,,,,
269,Thirurangadi,Vengara,19866,32051300616,GUPS Klari,1 - 7,802,1088,14,19,,,,
270,Thirurangadi,Vengara,19867,32051300706,GHS Kolappuram,1 -10,320,281,11,9,,,,
271,Thirurangadi,Vengara,19868,32051300117,G H S Kuruka,1 -10,348,445,16,14,,,,
272,Thirurangadi,Vengara,19871,32051300802,GUPS Thenhippalam,1 - 7,255,379,8,10,,,,
273,Thirurangadi,Vengara,19872,32051300116,GUPS Valiyora,1 - 7,257,265,12,6,,,,
274,Thirurangadi,Vengara,19881,,GUPS Mundothuparamba,5 -7,0,649,0,15,,,,
275,Tirur,Edappal,19034,32050700709,G. H. S. S. Kadanchery,1 - 12,41,165,1,6,,,,
276,Tirur,Edappal,19043,,P. C. N. G. H. S. S. Mookkuthala,5 - 12,0,509,0,12,,,,
277,Tirur,Edappal,19063,32050700115,G.H. S. S. Kokkur,1 - 12,113,226,5,10,,,,
278,Tirur,Edappal,19201,32050700102,G. L. P. S. Alankode,1 - 4,44,0,1,0,,,,
279,Tirur,Edappal,19205,32050700103,G. L. P. S. Chiyanur,1 - 4,83,0,2,0,,,,
280,Tirur,Edappal,19206,32050700202,G. L. P. S. Edappal,1 - 4,80,0,4,0,,,,
281,Tirur,Edappal,19208,32050700711,G. L. P. S. Kaladi,1 - 4,181,0,6,0,,,,
282,Tirur,Edappal,19210,32050700401,Padikkal KalyaniAMMA Memorial G L P S Kallurma,1 - 4,55,0,3,0,,,,
283,Tirur,Edappal,19214,32050700402,G. L. P. S. Mookkuthala,1 - 4,180,0,7,0,,,,
284,Tirur,Edappal,19216,32050700501,G. B. L. P. S. Mudur,1 - 4,75,0,1,0,,,,
285,Tirur,Edappal,19218,32050700712,G. L. P. S. Nariparamba,1 - 4,34,0,3,0,,,,
286,Tirur,Edappal,19220,32050700403,G. M. L. P. S. Pallikara,1 - 4,35,0,2,0,,,,
287,Tirur,Edappal,19222,32050700205,G. L. P. S. Perumparamba,1 - 4,151,0,6,0,,,,
288,Tirur,Edappal,19223,32050700206,G. L. P. S. Polpakkara,1 - 4,39,0,3,0,,,,
289,Tirur,Edappal,19225,32050700502,G. L. P. S. Sukapuram,1 - 4,43,0,1,0,,,,
290,Tirur,Edappal,19227,32050700207,G. L. P. S. Thuyyam,1 - 4,55,0,2,0,,,,
291,Tirur,Edappal,19229,32050700307,G. L. P. S. Thrikkanapuram,1 - 4,199,0,5,0,,,,
292,Tirur,Edappal,19231,32050700404,Uliyathu Aboobacker Memmorial G. L. P. S. Vadakkummuri,1 - 4,68,0,2,0,,,,
293,Tirur,Edappal,19233,32050700416,G. M. L. P. S. Vadakkummuri,1 - 4,25,0,3,0,,,,
294,Tirur,Edappal,19235,32050700503,G. J. B. S. Vattamkulam,1 - 4,57,0,2,0,,,,
295,Tirur,Edappal,19243,32050700204,Govt L.P.School Kololomba,1 - 5,30,13,3,0,,,,
296,Tirur,Edappal,19244,32050700305,G. H. W. L. P. S. Maravancheri,1 - 5,137,29,4,0,,,,
297,Tirur,Edappal,19246,32050700203,G. M. U. P. S. Edappal,1 - 7,96,219,4,6,,,,
298,Tirur,Edappal,19249,32050700217,G. U. P. S. Kololamba,1 - 7,114,231,4,7,,,,
299,Tirur,Edappal,19251,32050700101,G. U. P. S. Othalur,1 - 7,66,114,4,4,,,,
300,Tirur,Edappal,19253,32050700717,G. U. P. S. Pothanur,1 - 7,110,147,7,4,,,,
301,Tirur,Edappal,19254,32050700302,K. M. G. U. P. S. Thavanur,1 - 7,317,420,14,12,,,,
302,Tirur,Edappal,19255,32050700303,G. U. P. S. Vellanchery,1 - 7,122,110,6,4,,,,
303,Tirur,Kuttippuram,19022,,G. V. H. S. S. Kalpakanchery,5 - 12,0,795,0,23,,,,
304,Tirur,Kuttippuram,19040,,G. H. S. S. Kuttippuram,5 - 12,0,183,0,7,,,,
305,Tirur,Kuttippuram,19042,32050800618,G. H. S. S. Perassannur,1 - 12,145,228,7,5,,,,
306,Tirur,Kuttippuram,19301,32050800208,G. L. P. S. Athippetta,1 - 4,78,0,1,0,,,,
307,Tirur,Kuttippuram,19304,32050800702,G. M. L. P. S. Ayirani,1 - 4,77,0,3,0,,,,
308,Tirur,Kuttippuram,19306,32050800617,G. L. P. S. Chellur,1 - 4,170,0,7,0,,,,
309,Tirur,Kuttippuram,19308,32050800501,G. L. P. S. Cheruparamba,1 - 4,212,0,6,0,,,,
310,Tirur,Kuttippuram,19310,32050800106,G. L. P. S. Chottur,1 - 4,211,0,6,0,,,,
311,Tirur,Kuttippuram,19312,32050800309,G. W. L. P. S. Irimbliyam,1 - 4,109,0,3,0,,,,
312,Tirur,Kuttippuram,19313,32050800502,G. M. L. P. S. Kallarmangalam,1 - 4,157,0,5,0,,,,
313,Tirur,Kuttippuram,19315,32050800704,G. M. L. P. S. Kalpakancheri,1 - 4,53,0,3,0,,,,
314,Tirur,Kuttippuram,19317,32050800703,G. L. P. S. Kalpakancheri,1 - 4,518,0,12,0,,,,
315,Tirur,Kuttippuram,19319,32050800503,G. L. P. S. Karaikkad,1 - 4,237,0,8,0,,,,
316,Tirur,Kuttippuram,19321,32050800107,G. L. P. S. Kattilangadi,1 - 4,143,0,7,0,,,,
317,Tirur,Kuttippuram,19322,32050800402,G. L. P. S. Kattipparuthi,1 - 4,69,0,2,0,,,,
318,Tirur,Kuttippuram,19324,32050800705,G. M. L. P. S. Kanancheri,1 - 4,82,0,2,0,,,,
319,Tirur,Kuttippuram,19327,32050800607,G. L. P. S. Kulakkad,1 - 4,44,0,3,0,,,,
320,Tirur,Kuttippuram,19329,32050800609,G. L. P. S. Kuttippuram,1 - 4,21,0,2,0,,,,
321,Tirur,Kuttippuram,19331,32050800606,G. L. P. S. Kuttippuram North,1 - 4,124,0,5,0,,,,
322,Tirur,Kuttippuram,19332,32050800706,G. M. L. P. S. Manhachola,1 - 4,64,0,3,0,,,,
323,Tirur,Kuttippuram,19333,32050800610,G. L. P. S. Maniyankad,1 - 4,47,0,3,0,,,,
324,Tirur,Kuttippuram,19335,32050800310,G. L. P. S. Mankeri,1 - 4,97,0,4,0,,,,
325,Tirur,Kuttippuram,19337,32050800504,G. L. P. S. Melmuri,1 - 4,174,0,7,0,,,,
326,Tirur,Kuttippuram,19339,32050800902,G. L. P. S. Naduvattam,1 - 4,222,0,6,0,,,,
327,Tirur,Kuttippuram,19341,32050800707,G. M. L. P. S. Parappuram,1 - 4,77,0,4,0,,,,
328,Tirur,Kuttippuram,19343,32050800708,G. M. L. P. S. Paravannur,1 - 4,41,0,3,0,,,,
329,Tirur,Kuttippuram,19345,32050800608,G. L. P. S. Perumparamba Moodal,1 - 4,148,0,5,0,,,,
330,Tirur,Kuttippuram,19348,32050800209,G. L. P. S. Vadakkumbram,1 - 4,237,0,9,0,,,,
331,Tirur,Kuttippuram,19350,32050800403,G. M. L. P. S. Valancheri,1 - 4,46,0,1,0,,,,
332,Tirur,Kuttippuram,19357,32050800101,G. H. S. Athavanad,1 -10,214,434,9,16,,,,
333,Tirur,Kuttippuram,19359,32050800103,G. M. H. S. Karippole,1 -10,328,404,9,13,,,,
334,Tirur,Kuttippuram,19363,32050800102,G. U. P. S. Koodasseri,1 - 7,245,285,10,8,,,,
335,Tirur,Kuttippuram,19364,32050800401,G. U. P. S. Painkannur,1 - 7,100,183,4,4,,,,
336,Tirur,Kuttippuram,19365,32050800701,G. U. P. S. Randathani,1 - 7,148,264,8,4,,,,
337,Tirur,Ponnani,19045,32050900510,G. H. S. S. Trikkavu,1 - 12,142,216,6,9,,,,
338,Tirur,Ponnani,19054,32050900317,G. H. S. S. Maranchery,1 - 12,47,316,4,7,,,,
339,Tirur,Ponnani,19055,,G. H. S. S. Veliancode,5 - 12,0,83,0,4,,,,
340,Tirur,Ponnani,19506,32050900502,G. F. L. P. S. Ponnani,1 - 4,41,0,3,0,,,,
341,Tirur,Ponnani,19507,32050900503,G. M. L. P. S. Ponnani Town,1 - 4,34,0,3,0,,,,
342,Tirur,Ponnani,19509,32050900307,G. L. P. S. Purang,1 - 4,165,0,5,0,,,,
343,Tirur,Ponnani,19512,32050900110,G. L. P. S. Theyyangad,1 - 4,458,0,17,0,,,,
344,Tirur,Ponnani,19514,32050900203,G. L. P. S. Veliyancode New,1 - 4,183,0,8,0,,,,
345,Tirur,Ponnani,19516,32050900202,G. L. P. S. Veliyancode Gramam,1 - 4,47,0,3,0,,,,
346,Tirur,Ponnani,19519,32050900204,G. M. L. P. S. Veliyancode,1 - 4,89,0,3,0,,,,
347,Tirur,Ponnani,19533,32050900313,G. L. P. S. Kanhiramukku,1 - 5,24,6,4,0,,,,
348,Tirur,Ponnani,19535,32050900501,G. F. L. P. S. Puthuponnani,1 - 5,43,22,4,0,,,,
349,Tirur,Ponnani,19536,32050900205,G. F. L. P. S. Veliyancode,1 - 5,129,34,8,0,,,,
350,Tirur,Ponnani,19537,32050900504,G. L. P. S. Velleri,1 - 5,57,19,3,0,,,,
351,Tirur,Ponnani,19539,32050900101,G. U. P. S. Cheruvayikkara,1 - 7,48,98,4,3,,,,
352,Tirur,Ponnani,19541,32050900408,G. F. U. P. S. Palapetty,1 - 7,134,140,7,5,,,,
353,Tirur,Ponnani,19543,32050900215,G. M. U. P. S. Veliyancode South,1 - 7,299,296,11,8,,,,
354,Tirur,Ponnani,19544,32050900517,G. F. U. P. S. Kadavanad,1 - 7,227,299,9,9,,,,
355,Tirur,Ponnani,19556,32050900103,GLPS Kadavanad,1 - 4,84,0,4,0,,,,
356,Tirur,Tirur,19016,,G. B. H. S. S. Tirur,5 - 12,0,405,0,11,,,,
357,Tirur,Tirur,19020,,Govt.V. H. S. S for Girls. Tirur,5 - 12,0,103,0,6,,,,
358,Tirur,Tirur,19704,32051000402,G. L. P. S. B. P. Angadi,1 - 4,121,0,9,0,,,,
359,Tirur,Tirur,19707,32051000301,G. M. L. P. S. Edakkulam,1 - 4,116,0,6,0,,,,
360,Tirur,Tirur,19710,32051000302,G. M. L. P. S. Kaithakkara,1 - 4,35,0,3,0,,,,
361,Tirur,Tirur,19713,32051000713,G. M. L. P. S. Kuttayi North,1 - 4,42,0,3,0,,,,
362,Tirur,Tirur,19716,32051000714,G. M. L. P. S. Kuttayi South,1 - 4,101,0,4,0,,,,
363,Tirur,Tirur,19719,32051000707,G. M. L. P. S. Mangalam,1 - 4,56,0,3,0,,,,
364,Tirur,Tirur,19721,32051000403,G. L. P. S. Mangattiri,1 - 4,48,0,3,0,,,,
365,Tirur,Tirur,19723,32051000204,G. M. L. P. S. Muttannur,1 - 4,141,0,7,0,,,,
366,Tirur,Tirur,19725,32051000504,G. M. L. P. S. Pachattiri,1 - 4,119,0,5,0,,,,
367,Tirur,Tirur,19727,32051000303,G. M. L. P. S. SouthPallar,1 - 4,91,0,4,0,,,,
368,Tirur,Tirur,19730,32051000404,G. L. P. S. Thekkankuttur,1 - 4,38,0,3,0,,,,
369,Tirur,Tirur,19732,32051000603,G. L. P. S. Thekkummuri,1 - 4,115,0,5,0,,,,
370,Tirur,Tirur,19734,32051000304,G. L. P. S. Thiruthi,1 - 4,41,0,2,0,,,,
371,Tirur,Tirur,19736,32051000645,G. L. P. S. Thrikandiyur,1 - 4,99,0,5,0,,,,
372,Tirur,Tirur,19738,32051000305,G. M. L. P. S. Valiya Parappur,1 - 4,152,0,6,0,,,,
373,Tirur,Tirur,19740,32051000102,G. M. L. P. S. Vettam Pallippuram,1 - 4,56,0,3,0,,,,
374,Tirur,Tirur,19764,32051000646,G. L. P. S. Annara,1 - 5,70,23,4,0,,,,
375,Tirur,Tirur,19765,32051000205,G. W. L. P. S. Purathur,1 - 5,59,14,4,0,,,,
376,Tirur,Tirur,19767,32051000401,G. M. U. P. S. BP Angadi,1 - 7,385,666,13,14,,,,
377,Tirur,Tirur,19769,32051000101,G. U. P. S. Chamravattam,1 - 7,443,611,13,13,,,,
378,Tirur,Tirur,19774,32051000201,G. M. U. P. S. Edakkanad,1 - 7,169,235,8,6,,,,
379,Tirur,Tirur,19775,32051000202,G. U. P. S. Purathur,1 - 7,470,643,17,18,,,,
380,Tirur,Tirur,19777,32051000203,G. U. P. S. Purathupadinjarekkara,1 - 7,184,184,8,7,,,,
381,Tirur,Tirur,19779,32051000601,G. M. U. P. S. Tirur,1 - 7,375,564,14,13,,,,
382,Tirur,Tirur,19781,32051000524,G. M. U. P. S. Paravanna,1 - 7,306,305,11,6,,,,
383,Wandoor,Areacode,48001,,G H S S Areacode,5 - 12,0,255,0,7,,,,
384,Wandoor,Areacode,48090,,G V H S S Kizhuparamba,5 - 12,0,205,1,7,,,,
385,Wandoor,Areacode,48134,32050101102,G. H. S Pannippara,1 -10,301,543,13,16,,,,
386,Wandoor,Areacode,48137,32050100303,G H S Vettilappara,1 -10,256,318,11,9,,,,
387,Wandoor,Areacode,48140,32050100202,GHS Vadasseri,1 -10,284,360,9,11,,,,
388,Wandoor,Areacode,48141,32050100401,G H S Perakamanna,1 -10,245,415,9,9,,,,
389,Wandoor,Areacode,48202,32050100103,GMLPS Areacode West,1 - 4,44,0,3,0,,,,
390,Wandoor,Areacode,48203,32050100104,GLPS Chemrakattur,1 - 4,340,0,10,0,,,,
391,Wandoor,Areacode,48205,32050100203,G L P S Chengara,1 - 4,228,0,7,0,,,,
392,Wandoor,Areacode,48210,32050100204,GLPS Kavanur,1 - 4,244,0,7,0,,,,
393,Wandoor,Areacode,48212,32050100507,GMLPS Kizhuparamba,1 - 4,54,0,2,0,,,,
394,Wandoor,Areacode,48213,32050100508,GLPS Kizhuparamba South,1 - 4,58,0,2,0,,,,
395,Wandoor,Areacode,48214,32050100105,GLPS Kozhakottur,1 - 4,208,0,6,0,,,,
396,Wandoor,Areacode,48215,32050100501,GLPS Kuniyil,1 - 4,72,0,3,0,,,,
397,Wandoor,Areacode,48216,32050100502,GLPS Kuniyil South,1 - 4,242,0,8,0,,,,
398,Wandoor,Areacode,48217,32050100307,GLPS Kuthuparamba,1 - 4,136,0,7,0,,,,
399,Wandoor,Areacode,48219,32050101101,GLPS Palappatta,1 - 4,102,0,2,0,,,,
400,Wandoor,Areacode,48221,32050100503,G L P S Pathanapuram,1 - 4,65,0,3,0,,,,
401,Wandoor,Areacode,48222,32050100309,GLPS Pavanna,1 - 4,99,0,3,0,,,,
402,Wandoor,Areacode,48224,32050100106,GMLPS Puthalam,1 - 4,115,0,4,0,,,,
403,Wandoor,Areacode,48225,32050100306,GLPS Thachanna,1 - 4,326,0,11,0,,,,
404,Wandoor,Areacode,48226,32050100205,GLPS Thavarapparamba,1 - 4,343,0,10,0,,,,
405,Wandoor,Areacode,48227,32050100308,GLPS Thencheri,1 - 4,278,0,8,1,,,,
406,Wandoor,Areacode,48237,32050100101,GMUPS Areacode,1 - 7,342,327,9,9,,,,
407,Wandoor,Areacode,48238,32050100305,GUPS Chundathumpoyil,1 - 7,61,52,4,2,,,,
408,Wandoor,Areacode,48242,32050100317,GUPS Maithra,1 - 7,256,351,10,10,,,,
409,Wandoor,Areacode,48243,32050100302,GUPS Moorkanad,1 - 7,179,722,9,18,,,,
410,Wandoor,Areacode,48244,32050100102,GMUPS Mundambra,1 - 7,340,294,13,8,,,,
411,Wandoor,Areacode,48245,32050100301,G U P S Odakkayam,1 - 7,23,22,4,2,,,,
412,Wandoor,Areacode,48253,,GUPS Chengara,5 -7,0,503,0,14,,,,
413,Wandoor,Areacode,48276,32050100520,G L P S West Pathanapuram,1 - 4,61,0,4,0,,,,
414,Wandoor,Melattur,48063,,G.H.S.S. Pattikkad,5 - 12,0,317,0,8,,,,
415,Wandoor,Melattur,48136,,C K H M G.H.S. Edappatta,5 - 10,0,178,0,7,,,,
416,Wandoor,Melattur,48139,32050500901,G.H.S. Kappu,1 -10,350,413,12,13,,,,
417,Wandoor,Melattur,48304,32050500303,G.L.P.S. Cheriparamba,1 - 4,132,0,5,0,,,,
418,Wandoor,Melattur,48309,32050500902,G.L.P.S. Kara,1 - 4,142,0,7,0,,,,
419,Wandoor,Melattur,48310,32050500602,G.L.P.S. Kizhakkumpadam,1 - 4,139,0,5,0,,,,
420,Wandoor,Melattur,48315,32050500903,G.L.P.S. Melkulangara,1 - 4,69,0,3,0,,,,
421,Wandoor,Melattur,48317,32050500502,G.M.L.P.S. Nenmini,1 - 4,268,0,6,0,,,,
422,Wandoor,Melattur,48318,32050500904,G.M.L.P.S. Pallikuth,1 - 4,139,0,6,0,,,,
423,Wandoor,Melattur,48319,32050500305,G.L.P.S. Pathirikode,1 - 4,55,0,3,0,,,,
424,Wandoor,Melattur,48320,32050500306,G.L.P.S. Kombamkallu,1 - 4,92,0,4,0,,,,
425,Wandoor,Melattur,48321,32050500503,G.L.P.S. Pattikkad,1 - 4,242,0,8,0,,,,
426,Wandoor,Melattur,48323,32050500307,G.L.P.S. Pezhumthara,1 - 4,51,0,3,0,,,,
427,Wandoor,Melattur,48326,32050500609,M.P.G.L.P.S. Puthanpally,1 - 4,76,0,2,0,,,,
428,Wandoor,Melattur,48328,32050500905,G.L.P.S. Thelakkad,1 - 4,82,0,3,0,,,,
429,Wandoor,Melattur,48329,32050500504,G.L.P.S. Valayapuram,1 - 4,34,0,3,0,,,,
430,Wandoor,Melattur,48330,32050500601,G.L.P.S. Chemmaniyode,1 - 5,201,44,9,0,,,,
431,Wandoor,Melattur,48333,32050500522,G.M.U.P.S. Oravambram,1 - 7,244,349,8,11,,,,
432,Wandoor,Melattur,48339,32050500304,G.L.P.S. Edappatta,1 - 4,74,0,3,0,,,,
433,Wandoor,Nilambur,48035,,G M V H S S Nilambur,5 - 12,0,84,0,4,,,,
434,Wandoor,Nilambur,48077,32050402605,G H S S Moothedath,1 - 12,248,263,11,5,,,,
435,Wandoor,Nilambur,48100,32050400206,GHSS Edakkara,1 - 12,259,374,9,13,,,,
436,Wandoor,Nilambur,48129,32050400720,I G M M R S Nilambur,1 - 12,64,129,2,0,,,,
437,Wandoor,Nilambur,48138,32050402703,GHS Munderi,1 -10,155,255,7,7,,,,
438,Wandoor,Nilambur,48144,32050400103,GHS Marutha,1 -10,319,385,11,12,,,,
439,Wandoor,Nilambur,48401,32050400805,Amarambalam GLPS,1 - 4,134,0,6,0,,,,
440,Wandoor,Nilambur,48406,32050402601,Cholamunda GLPS,1 - 4,188,0,8,0,,,,
441,Wandoor,Nilambur,48407,32050400407,Chungathara G L P S,1 - 4,149,0,6,0,,,,
442,Wandoor,Nilambur,48408,32050400411,GLPS Chungathara Panchayath,1 - 4,132,0,5,0,,,,
443,Wandoor,Nilambur,48410,32050402503,Edivanna Estate GLPS,1 - 4,217,0,6,0,,,,
444,Wandoor,Nilambur,48411,32050400705,Karimbuzha GMLPS,1 - 4,173,0,6,0,,,,
445,Wandoor,Nilambur,48413,32050400905,GMLPS Panthalingal,1 - 4,79,0,3,0,,,,
446,Wandoor,Nilambur,48414,32050400904,GLPS Kattumunda East,1 - 4,345,0,11,0,,,,
447,Wandoor,Nilambur,48415,32050400806,Kavalamukkatta GLPS,1 - 4,156,0,6,0,,,,
448,Wandoor,Nilambur,48416,32050402505,Konamunda GLPS,1 - 4,153,0,6,0,,,,
449,Wandoor,Nilambur,48419,32050400107,Mamankara GLPS,1 - 4,506,0,14,0,,,,
450,Wandoor,Nilambur,48420,32050400906,Mampad North GMLPS,1 - 4,151,0,6,0,,,,
451,Wandoor,Nilambur,48422,32050400706,Mankuth GLPS,1 - 4,94,0,3,0,,,,
452,Wandoor,Nilambur,48423,32050400907,GLPS Meppadam,1 - 4,111,0,6,0,,,,
453,Wandoor,Nilambur,48425,32050402507,Mooleppadam GLPS,1 - 4,6,0,0,0,,,,
454,Wandoor,Nilambur,48426,32050400707,GMLPS Mukkatta,1 - 4,75,0,3,0,,,,
455,Wandoor,Nilambur,48429,32050400908,Naduvakkad GLPS,1 - 4,64,0,3,0,,,,
456,Wandoor,Nilambur,48430,32050402609,Nedungayam GTLPS,1 - 4,5,0,1,0,,,,
457,Wandoor,Nilambur,48431,32050400708,GMLPS Nilambur,1 - 4,533,0,15,0,,,,
458,Wandoor,Nilambur,48435,32050400202,Pathirippadam GLPS,1 - 4,167,0,7,0,,,,
459,Wandoor,Nilambur,48436,32050400807,Payampadam GLPS,1 - 4,79,0,3,0,,,,
460,Wandoor,Nilambur,48437,32050402506,Perumbathur GLPS,1 - 4,65,0,3,0,,,,
461,Wandoor,Nilambur,48439,32050402705,Poolappadam GLPS,1 - 4,146,0,5,0,,,,
462,Wandoor,Nilambur,48441,32050400909,Pullippadam GLPS,1 - 4,157,0,4,0,,,,
463,Wandoor,Nilambur,48445,32050400910,Vadapuram GMLPS,1 - 4,112,0,3,0,,,,
464,Wandoor,Nilambur,48446,32050402504,Valanthode GTLPS,1 - 4,25,0,2,0,,,,
465,Wandoor,Nilambur,48447,32050400606,Varikkal GLPS,1 - 4,132,0,5,0,,,,
466,Wandoor,Nilambur,48448,32050400709,Veettikuth GLPS,1 - 4,262,0,9,0,,,,
467,Wandoor,Nilambur,48450,32050400111,Vendekkumpotty GLPS,1 - 4,76,0,4,0,,,,
468,Wandoor,Nilambur,48452,32050400801,Amarambalam South GUPS,1 - 7,152,234,6,5,,,,
469,Wandoor,Nilambur,48455,32050400407,Eranhimangad GUPS,1 - 7,270,410,12,10,,,,
470,Wandoor,Nilambur,48457,32050400401,Kurumbalangode GUPS,1 - 7,286,417,6,8,,,,
471,Wandoor,Nilambur,48463,32050402501,Myladi GUPS,1 - 7,176,139,7,3,,,,
472,Wandoor,Nilambur,48466,32050400701,Nilambur GMUPS,1 - 7,121,307,6,8,,,,
473,Wandoor,Nilambur,48468,32050400448,Pallikuth GUPS,1 - 7,146,143,7,5,,,,
474,Wandoor,Nilambur,48469,32050402605,Paramba G U P S,1 - 7,368,483,14,11,,,,
475,Wandoor,Nilambur,48478,,Kattumunda East GUPS,5 -7,0,770,0,18,,,,
476,Wandoor,Nilambur,48479,,Konnamanna GUPS,5 -7,0,97,0,2,,,,
477,Wandoor,Nilambur,48482,,Pulliyil GUPS,5 -7,0,540,0,16,,,,
478,Wandoor,Wandoor,48038,,G H S S Pullangode,5 - 12,0,285,0,10,,,,
479,Wandoor,Wandoor,48047,,VMCGHSS Wandoor,5 - 12,0,325,0,6,,,,
480,Wandoor,Wandoor,48049,32050300610,G G V H S S Wandoor,1 - 12,134,251,8,8,,,,
481,Wandoor,Wandoor,48050,,G H S S Vaniyambalam,5 - 12,0,439,0,11,,,,
482,Wandoor,Wandoor,48051,,G H S S Thiruvali,5 - 12,0,541,1,9,,,,
483,Wandoor,Wandoor,48052,,G H S S Karuvarakundu,5 - 12,0,764,2,14,,,,
484,Wandoor,Wandoor,48135,32050300601,GHS Kappilkarad,1 -10,97,132,6,6,,,,
485,Wandoor,Wandoor,48501,32050300123,Adakkakundu GLPS,1 - 4,160,0,4,0,,,,
486,Wandoor,Wandoor,48502,32050300403,Akkarakulam GLPS,1 - 4,200,0,6,0,,,,
487,Wandoor,Wandoor,48504,32050300807,Amapoyil GLPS,1 - 4,202,0,7,0,,,,
488,Wandoor,Wandoor,48510,32050300709,Chokkad Girijan Colony GLPS,1 - 4,10,0,1,0,,,,
