Sl No,Educational District,Educational Sub-District (AEO),School Code,UDISE Code,School Name,Classes Approved,Students 1-4,Students 5-7,LP School Assistant posts filled (Sametham),UP School Assistant posts filled (Sametham),Sanctioned LPSA posts (to be filled by PIO),Sanctioned UPSA posts (to be filled by PIO),Vacant LPSA posts (to be filled by PIO),Vacant UPSA posts (to be filled by PIO)
56,Malappuram,Malappuram,18012,,G.G.H.S.S. Malappuram,5 - 12,0,265,0,5,,,,
57,Malappuram,Malappuram,18013,,G.B.H.S.S Malappuram,5 - 12,0,144,0,2,,,,
58,Malappuram,Malappuram,18032,,G.R.H.S.S Kottakkal,5 - 12,0,597,0,12,,,,
59,Malappuram,Malappuram,18434,32051400303,G.L.P.S. Choonur,1 - 4,166,0,6,0,,,,
60,Malappuram,Malappuram,18435,32051400502,G.L.P.S. Kodur,1 - 4,63,0,1,0,,,,
61,Malappuram,Malappuram,18436,32051400403,G.L.P.S. Kottakkal,1 - 4,120,0,2,0,,,,
62,Malappuram,Malappuram,18437,32051400632,G.L.P.S. Malappruam,1 - 4,261,0,8,0,,,,
63,Malappuram,Malappuram,18438,32051400708,G.L.P.S. Melmuri North,1 - 4,227,0,4,0,,,,
64,Malappuram,Malappuram,18439,32051400709,G.L.P.S. Melmuri South,1 - 4,86,0,4,0,,,,
65,Malappuram,Malappuram,18440,32051400304,G.L.P.S. Paranki Moochikkal,1 - 4,367,0,9,0,,,,
66,Malappuram,Malappuram,18441,32051400504,G.L.P.S. Peringottupulam,1 - 4,81,0,2,0,,,,
67,Malappuram,Malappuram,18442,32051400203,G.L.P.S. Pookottur New,1 - 4,214,0,8,0,,,,
68,Malappuram,Malappuram,18443,32051400204,G.L.P.S. Pookottur Old,1 - 4,356,0,11,0,,,,
69,Malappuram,Malappuram,18444,32051400505,G.L.P.S. Vadakkemanna,1 - 4,54,0,3,0,,,,
70,Malappuram,Malappuram,18446,32051400205,G.M.L.P.S. Athanikkal,1 - 4,69,0,3,0,,,,
71,Malappuram,Malappuram,18447,32051400302,G.M.L.P.S. Chappanangadi,1 - 4,257,0,9,0,,,,
72,Malappuram,Malappuram,18448,32051400109,G.M.L.P.S. Irumbuzhi,1 - 4,256,0,9,0,,,,
73,Malappuram,Malappuram,18449,32051400809,G.M.L.P.S. Kolmanna,1 - 4,54,0,3,0,,,,
74,Malappuram,Malappuram,18450,32051400503,G.M.L.P.S. Kuttasserikulamba,1 - 4,258,0,9,0,,,,
75,Malappuram,Malappuram,18451,32051400702,G.M.L.P.S. Melmuri Central,1 - 4,75,0,3,0,,,,
76,Malappuram,Malappuram,18452,32051400305,G.M.L.P.S. Ponmala,1 - 4,51,0,3,0,,,,
77,Malappuram,Malappuram,18461,32051400202,G.M.L.P.S. Pookottur,1 - 5,61,13,4,0,,,,
78,Malappuram,Malappuram,18471,32051400501,G.M.U.P.S. Chemmankadavu,1 - 7,176,557,8,15,,,,
79,Malappuram,Malappuram,18472,32051400101,G.M.U.P.S. Irumbuzhi,1 - 7,421,639,12,16,,,,
80,Malappuram,Malappuram,18473,32051400402,G.M.U.P.S. Kottakkal,1 - 7,289,431,11,8,,,,
81,Malappuram,Malappuram,18474,32051400633,G.M.U.P.S. Melmuri,1 - 7,491,404,15,8,,,,
82,Malappuram,Malappuram,18475,32051400401,G.U.P.S. Kottakkal,1 - 7,285,315,11,6,,,,
83,Malappuram,Malappuram,18476,32051400201,G.U.P.S. Muthiriparamba,1 - 7,262,223,9,2,,,,
84,Malappuram,Malappuram,18477,32051400301,G.U.P.S. Ponmala,1 - 7,242,348,9,8,,,,
85,Malappuram,Manjeri,18021,,G B H S S Manjeri,5 - 12,0,593,1,6,,,,
86,Malappuram,Manjeri,18023,32050600631,G.G.H.S.S. Manjeri,1 - 12,19,133,3,1,,,,
87,Malappuram,Manjeri,18027,,G H S S Pandikkad,5 - 12,0,857,0,19,,,,
88,Malappuram,Manjeri,18028,32050601405,G V H S S Nellikuth,1 - 12,198,695,8,18,,,,
89,Malappuram,Manjeri,18069,,S H M G V H S S Edavanna,5 - 12,0,277,0,9,,,,
90,Malappuram,Manjeri,18505,32050600605,G.L.P.S. Arukizhaya,1 - 4,60,0,1,0,,,,
91,Malappuram,Manjeri,18506,32050600202,G.L.P.S. Chalippadam,1 - 4,99,0,5,0,,,,
92,Malappuram,Manjeri,18507,32050600220,G.L.P.S. Chembakuth,1 - 4,53,0,2,0,,,,
93,Malappuram,Manjeri,18508,32050601003,G.L.P.S. Cherukulam,1 - 4,185,0,8,0,,,,
94,Malappuram,Manjeri,18510,32050601004,G.L.P.S. Cheruvannur,1 - 4,230,0,9,0,,,,
95,Malappuram,Manjeri,18514,32050600204,G.M.L.P.S. Edavanna,1 - 4,160,0,7,0,,,,
96,Malappuram,Manjeri,18515,32050600205,G.M.L.P.S. Eranhikode,1 - 4,162,0,8,0,,,,
97,Malappuram,Manjeri,18517,32050601101,G.M.L.P.S. Karakunnu,1 - 4,179,0,8,0,,,,
98,Malappuram,Manjeri,18521,32050600703,G.L.P.S. Karuvambrum West,1 - 4,58,0,3,0,,,,
99,Malappuram,Manjeri,18523,32050600704,G.M.L.P.S. Kidangazhi,1 - 4,303,0,12,0,,,,
100,Malappuram,Manjeri,18524,32050601218,G.L.P.S. Kizhakkuparamba,1 - 4,180,0,7,0,,,,
101,Malappuram,Manjeri,18525,32050600302,G.M.L.P.S. Kodasseri,1 - 4,378,0,10,0,,,,
102,Malappuram,Manjeri,18528,32050600705,G.M.L.P.S. Mangalasseri,1 - 4,322,0,11,0,,,,
103,Malappuram,Manjeri,18529,32050601005,G.M.L.P.S. Manhapatta,1 - 4,200,0,7,0,,,,
104,Malappuram,Manjeri,18531,32050600628,G.M.L.P.S. Manjeri East,1 - 4,61,0,3,0,,,,
105,Malappuram,Manjeri,18532,32050600608,G.L.P.S. Manjeri,1 - 4,365,0,15,0,,,,
106,Malappuram,Manjeri,18533,32050600609,G.M.L.P.S. Manjeri,1 - 4,48,0,3,0,,,,
107,Malappuram,Manjeri,18534,32050600610,G.M.L.P.S. Manjeri South,1 - 4,34,0,3,0,,,,
108,Malappuram,Manjeri,18535,32050600613,G M L P S Mariyad,1 - 4,149,0,3,0,,,,
109,Malappuram,Manjeri,18538,32050600706,G.L.P.S. Narukara,1 - 4,71,0,3,0,,,,
