School Code,School Name,Educational Sub-District,Local Body,Block Name,Latitude,Longitude,Maps Link,Verified (Y/N),Corrected Latitude,Corrected Longitude,Notes
19642,G. M. L. P. S. Thalakadathur,Tanur,Cheriyamundam(P),Tanur,10.939,75.93746,"http://maps.google.com/maps?q=10.939,75.937460000000002",,,,
19622,G. L. P. S. Nannambra,Tanur,Nannambra(P),Tirurangadi,10.99566,75.90959,"http://maps.google.com/maps?q=10.995660000000001,75.909589999999994",,,,
19602,G. M. L. P. S. Cherumukku,Tanur,Nannambra(P),Tirurangadi,11.02253,75.92435,"http://maps.google.com/maps?q=11.02253,75.924350000000004",,,,
19644,G. M. L. P. S. Thiruthy,Tanur,Nannambra(P),Tirurangadi,11.01611,75.90044,"http://maps.google.com/maps?q=11.016109999999999,75.900440000000003",,,,
19669,G. M. U. P. S. Kodinhi,Tanur,Nannambra(P),Tirurangadi,11.01703,75.91072,"http://maps.google.com/maps?q=11.01703,75.910719999999998",,,,
19662,G. L. P. S. Ozhur,Tanur,Ozhur(P),Tanur,10.966,75.90611,"http://maps.google.com/maps?q=10.965999999999999,75.906109999999998",,,,
19616,G. M. L. P. S. Korad,Tanur,Ozhur(P),Tanur,10.98109,75.91401,"http://maps.google.com/maps?q=10.98109,75.914010000000005",,,,
19619,G. M. L. P. S. Manalipuzha,Tanur,Ozhur(P),Tanur,10.99046,75.92562,"http://maps.google.com/maps?q=10.990460000000001,75.925619999999995",,,,
19667,G. U. P. S. Karingappara,Tanur,Ozhur(P),Tanur,10.9862,75.94249,"http://maps.google.com/maps?q=10.9862,75.942490000000006",,,,
19611,G. L. P. S. Klari West,Tanur,Perumanna klari(P),Tanur,10.98592,75.96797,"http://maps.google.com/maps?q=10.98592,75.967969999999994",,,,
19661,G. M. L. P. S. Kuttippala,Tanur,Perumanna klari(P),Tanur,10.96675,75.96111,"http://maps.google.com/maps?q=10.966749999999999,75.961110000000005",,,,
19119,G. H. S. S. Ponmundam,Tanur,Ponmundam(P),Tanur,10.957123,75.956855,"http://maps.google.com/maps?q=10.957122999999999,75.956855000000004",,,,
19671,G H S Meenadathur,Tanur,Tanalur(P),Tanur,10.942207,75.910048,"http://maps.google.com/maps?q=10.942207,75.910048000000003",,,,
19660,G. L. P. S. K.Puram,Tanur,Tanalur(P),Tanur,10.95149,75.89791,"http://maps.google.com/maps?q=10.95149,75.897909999999996",,,,
19636,A. M. L. P. S. Kormanthala,Tanur,Tanur(M),,10.98716,75.867883,"http://maps.google.com/maps?q=10.987159999999999,75.867883000000006",,,,
19024,G. H. S. S. Kattilangadi,Tanur,Tanur(M),,10.97254,75.89182,"http://maps.google.com/maps?q=10.97254,75.891819999999996",,,,
19663,G. L. P. S. Pariyapuram,Tanur,Tanur(M),,11.00222,75.87384,"http://maps.google.com/maps?q=11.002219999999999,75.873840000000001",,,,
19629,G. L. P. S. Rayirimangalam,Tanur,Tanur(M),,10.99357,75.8731,"http://maps.google.com/maps?q=10.99357,75.873099999999994",,,,
19635,G. L. P. S. Rayirimangalam East,Tanur,Tanur(M),,10.990609,75.877507,"http://maps.google.com/maps?q=10.990608999999999,75.877506999999994",,,,
19664,G. L. P. S. Tanur,Tanur,Tanur(M),,10.974337,75.8792,"http://maps.google.com/maps?q=10.974337,75.879199999999997",,,,
19624,G. M. L. P. S. Panangattur,Tanur,Tanur(M),,10.99021,75.89738,"http://maps.google.com/maps?q=10.990209999999999,75.897379999999998",,,,
19633,G. M. L. P. S. Puthiyakadppuram North,Tanur,Tanur(M),,10.950653,75.877138,"http://maps.google.com/maps?q=10.950653000000001,75.877138000000002",,,,
19637,G. M. L. P. S. Rayirimangalam,Tanur,Tanur(M),,10.98098,75.87693,"http://maps.google.com/maps?q=10.980980000000001,75.876930000000002",,,,
19640,G. M. L. P. S. Tanur North,Tanur,Tanur(M),,10.98312,75.869813,"http://maps.google.com/maps?q=10.98312,75.869812999999994",,,,
19673,G. M. U. P. S. Tanur Town,Tanur,Tanur(M),,10.97752,75.871183,"http://maps.google.com/maps?q=10.97752,75.871183000000002",,,,
19607,G. M. L. P. S. Edakadappuram,Tanur,Tanur(P),Tanur,10.96927,75.872743,"http://maps.google.com/maps?q=10.96927,75.872743",,,,
19613,G. L. P. S. Kanmanam,Tanur,Valavannur(P),Tanur,10.906296,75.982985,"http://maps.google.com/maps?q=10.906295999999999,75.982984999999999",,,,
19605,G. M. L. P. S. Cheruvannur,Tanur,Valavannur(P),Tanur,10.928094,75.97306,"http://maps.google.com/maps?q=10.928094,75.973060000000004",,,,
19646,G. M. L. P. S. Valavannur,Tanur,Valavannur(P),Tanur,10.958043,75.976714,"http://maps.google.com/maps?q=10.958043,75.976714000000001",,,,
19713,G. M. L. P. S. Kuttayi North,Tirur,Mangalam(P),Tirur,10.849138,75.901949,"http://maps.google.com/maps?q=10.849138,75.901949000000002",,,,
19719,G. M. L. P. S. Mangalam,Tirur,Mangalam(P),Tirur,10.854956,75.920976,"http://maps.google.com/maps?q=10.854956,75.920975999999996",,,,
19723,G. M. L. P. S. Muttannur,Tirur,Purathur(P),Tirur,10.83277,75.91496,"http://maps.google.com/maps?q=10.83277,75.914959999999994",,,,
19774,G. M. U. P. S. Edakkanad,Tirur,Purathur(P),Tirur,10.82337,75.92015,"http://maps.google.com/maps?q=10.823370000000001,75.920150000000007",,,,
19777,G. U. P. S. Purathupadinjarekkara,Tirur,Purathur(P),Tirur,10.80976,75.90925,"http://maps.google.com/maps?q=10.809760000000001,75.90925",,,,
19775,G. U. P. S. Purathur,Tirur,Purathur(P),Tirur,10.80417,75.92182,"http://maps.google.com/maps?q=10.804169999999999,75.921819999999997",,,,
19765,G. W. L. P. S. Purathur,Tirur,Purathur(P),Tirur,10.80058,75.91946,"http://maps.google.com/maps?q=10.80058,75.919460000000001",,,,
19740,G. M. L. P. S. Vettam Pallippuram,Tirur,Triprangode(P),Tirur,10.82254,75.95126,"http://maps.google.com/maps?q=10.82254,75.951260000000005",,,,
19781,G. M. U. P. S. Paravanna,Tirur,Vettom(P),Tirur,10.900722,75.89231,"http://maps.google.com/maps?q=10.900722,75.892309999999995",,,,
19867,GHS Kolappuram,Vengara,Abdul Rahiman Nagar(P),Vengara,11.05608,75.935,"http://maps.google.com/maps?q=11.05608,75.935000000000002",,,,
19840,GLPS Pukayur,Vengara,Abdul Rahiman Nagar(P),Vengara,11.073853,75.91443,"http://maps.google.com/maps?q=11.073853,75.914429999999996",,,,
19822,GMLPS Mampuram,Vengara,Abdul Rahiman Nagar(P),Vengara,11.0561,75.92042,"http://maps.google.com/maps?q=11.056100000000001,75.920419999999993",,,,
19859,GUPS AR Nagar,Vengara,Abdul Rahiman Nagar(P),Vengara,11.07172,75.94703,"http://maps.google.com/maps?q=11.071719999999999,75.947029999999998",,,,
19077,GHSS Puthuparamba,Vengara,Edarikode(P),Vengara,11.02323,75.97062,"http://maps.google.com/maps?q=11.02323,75.970619999999997",,,,
19812,GLPS Klari,Vengara,Edarikode(P),Vengara,10.98731,75.98458,"http://maps.google.com/maps?q=10.987310000000001,75.984579999999994",,,,
19866,GUPS Klari,Vengara,Edarikode(P),Vengara,10.99273,75.97987,"http://maps.google.com/maps?q=10.99273,75.979870000000005",,,,
