School Name,Educational District,Educational Sub-District,Block Name,Level Name,Distance to Nearest PWD Road (m),Nearest Road Type,Nearest Road Name/Ref,Latitude,Longitude
GMUPS Areacode,Wandoor,Areacode,Areacode,1 - 7,150.1,State Highway,Quilandy - Thamarassery - Edavanna Road (SH34,11.23652,76.05182
Chokkad GMUPS,Wandoor,Wandoor,Kalikavu,1 - 7,154.0,State Highway,Perumbilavu-Nilambur Road (SH39,11.22275,76.33407
GHSS Puthuparamba,Thirurangadi,Vengara,Vengara,1 - 12,154.3,MDR,Puthuparamba Road (MDR,11.02323,75.97062
G L P S Pooppalam Valambur,Malappuram,Mankada,Perinthalmanna,1 - 4,157.1,State Highway,Perumbilavu-Nilambur Road (SH39,10.999484,76.223165
GMLPS Puthalam,Wandoor,Areacode,Areacode,1 - 4,157.4,State Highway,Quilandy - Thamarassery - Edavanna Road (SH34,11.226101,76.054243
GUPS Kadungallur,Malappuram,Kizhisseri,Areacode,1 - 7,158.8,State Highway,Parappanangadi - Areacode Road (SH65,11.19836,76.02383
GLPS Parathakkad,Malappuram,Kizhisseri,Kondotty,1 - 4,159.9,MDR,Edavannapara - Kondotty Road (MDR,11.17908,75.97024
GLPS Kattumunda East,Wandoor,Nilambur,Wandoor,1 - 4,159.9,State Highway,wandoor - Nilambur Road (SH73,11.234498,76.208361
GMVHSS Vengara Town,Thirurangadi,Vengara,Vengara,1 - 12,160.1,State Highway,"malappuram,vengara road (SH72",11.049436,75.977941
G L P S Pathanapuram,Wandoor,Areacode,Areacode,1 - 4,165.7,State Highway,koyilandy -gudallur - edavanna road (SH34,11.24532,76.04459
G.M.L.P.S. Nellikuth North,Malappuram,Manjeri,,1 - 4,175.8,MDR,Manjeri-Pandikkad Road (MDR,11.10863,76.182198
GMLPS Thootha,Malappuram,Perinthalmanna,Perinthalmanna,1 - 4,177.5,State Highway,Palakkad-Perintalmanna Road (SH53,10.9188,76.28679
Mundakkode GLPS,Wandoor,Wandoor,Kalikavu,1 - 4,178.3,State Highway,Perumbilavu-Nilambur Road (SH39,11.103337,76.269121
G.U.P.S. Vettekkode,Malappuram,Manjeri,,1 - 7,178.9,State Highway,Manjery Byepass Road (SH,11.114443,76.123285
Thiruvali GLPS,Wandoor,Wandoor,Wandoor,1 - 4,182.0,MDR,Edavanna - Wandoor Road (MDR,11.200862,76.170914
G.L.P.S. Valayapuram,Wandoor,Melattur,Perinthalmanna,1 - 4,182.2,State Highway,Perumbilavu-Nilambur Road (SH39,11.04503,76.27342
G.L.P.S. Pattikkad,Wandoor,Melattur,Perinthalmanna,1 - 4,183.3,State Highway,Perumbilavu-Nilambur Road (SH39,11.01924,76.23566
GLPS Kozhakottur,Wandoor,Areacode,Areacode,1 - 4,183.8,State Highway,Parappanangadi - Areacode Road (SH65,11.22002,76.04539
G.M.L.P.S. Kumminiparamba,Malappuram,Kondotty,Kondotty,1 - 4,186.6,MDR,Thenhipalam - Puthur Pallikkal - Airport Road (MDR,11.13256,75.9373
G. L. P. S. Veliyancode Gramam,Tirur,Ponnani,Perumpadappa,1 - 4,187.4,MDR,Eramangalam-Vellancode Road (MDR,10.71558,75.96
G. U. P. S. Purathupadinjarekkara,Tirur,Tirur,Tirur,1 - 7,187.5,State Highway,Tippu Sulthan Road (MDR,10.80976,75.90925
G. L. P. S. Kalpakancheri,Tirur,Kuttippuram,Kuttippuram,1 - 4,197.3,MDR,Kadungathukundu - Edarikkode Road (MDR,10.93859,75.97679
G.U.P.S. Anakkayam,Malappuram,Manjeri,Malappuram,1 - 7,203.1,MDR,Manjeri - Perinthalmanna Road (MDR,11.08786,76.12341
G. M. L. P. S. Pallikara,Tirur,Edappal,Perumpadappa,1 - 4,203.5,MDR,AE Office Changaramkulam Road (MDR,10.727149,76.029348
GMLPS Areacode West,Wandoor,Areacode,Areacode,1 - 4,207.4,State Highway,Quilandy - Thamarassery - Edavanna Road (SH34,11.23918,76.048717
G.U.P.S. Kottakkal,Malappuram,Malappuram,,1 - 7,212.9,MDR,Thokkampara-Kottapadi Road (MDR,10.99176,76.00782
G. M. L. P. S. Parappanangadi,Thirurangadi,Parappanangadi,,1 - 4,215.3,State Highway,Parappanangadi Tippu Sulthan Road,11.060829,75.84904
G. U. P. S. Kololamba,Tirur,Edappal,Ponnani,1 - 7,222.4,State Highway,Guruvayoor - Althara - Ponnani Road (SH62,10.782252,75.947046
G. M. L. P. S. Iringavoor,Thirurangadi,Tanur,Tanur,1 - 4,224.4,State Highway,Tirur - Malappuram - Manjeri Road (SH71,10.93993,75.93952
G. M. L. P. S. Manalipuzha,Thirurangadi,Tanur,Tanur,1 - 4,224.5,MDR,Athanikkal - Theyyala Road (MDR,10.99046,75.92562
G.U.P.S. Pathappiriyam,Malappuram,Manjeri,Areacode,1 - 7,235.6,State Highway,Kozhikode - Nilmbur - Gudallur Road (SH28,11.192846,76.135081
GMLPS Pookalathur,Malappuram,Kizhisseri,Areacode,1 - 4,236.9,MDR,Manjeri-Kizhisseri Road (MDR,11.1575,76.05687
G. H. W. L. P. S. Maravancheri,Tirur,Edappal,Ponnani,1 - 5,240.2,MDR,Edappal - Tavanoor Road (MDR,10.831856,75.997436
GMLPS Perinthalmanna Central,Malappuram,Perinthalmanna,,1 - 4,245.0,State Highway,Perumbilavu-Nilambur Road (SH39,10.978076,76.22629
G.L.P.S. Chembakuth,Malappuram,Manjeri,Areacode,1 - 4,245.6,MDR,Edavanna - Wandoor Road (MDR,11.206241,76.149153
Edivanna Estate GLPS,Wandoor,Nilambur,Nilambur,1 - 4,246.3,State Highway,Nilambur-Adayanpara Road (SH59,11.31663,76.20428
G.U.P.S. Manjeri,Malappuram,Manjeri,,1 - 7,247.3,MDR,Industrial estate road (MDR,11.120277,76.115769
Kallamoola GLPS,Wandoor,Wandoor,Kalikavu,1 - 4,249.8,State Highway,Perumbilavu-Nilambur Road (SH39,11.21466,76.3377
GMLPS Panthalingal,Wandoor,Nilambur,Wandoor,1 - 4,252.2,MDR,Thiruvali - Kottola - Kottumala Road (MDR,11.22118,76.19803
